x,y,z
-1320,1767,393
-1330,1765,-61
-1292,1641,-495
-1255,1423,-850
-1171,1167,-1115
-1088,995,-1225
-1110,1028,-1212
-1198,1226,-1072
-1276,1476,-806
-1325,1672,-411
-1392,1727,33
-1467,1625,455
-1462,1378,881
-1306,1018,1256
-1017,626,1465
-737,252,1433
-477,-37,1255
-382,-235,1066
-283,-326,888
-258,-356,815
-315,-390,783
-393,-428,753
-340,-402,756
-221,-308,850
-140,-211,980
-118,-66,1141
-122,127,1273
-111,290,1370
-195,447,1450
-358,581,1521
-597,700,1553
-751,781,1528
-730,805,1541
-673,868,1523
-620,928,1521
-528,973,1538
-501,962,1531
-501,991,1526
-463,1045,1508
-428,1100,1482
-218,1138,1441
-73,1086,1416
-13,1016,1426
-46,860,1455
22,752,1438
20,578,1447
-38,405,1457
-132,263,1411
-181,127,1393
-167,87,1375
-251,16,1367
-321,-100,1322
-280,-90,1317
-258,-45,1362
-286,6,1401
-315,95,1433
-328,153,1452
-366,180,1447
-380,192,1445
-412,237,1438
-466,232,1452
-491,230,1436
-477,250,1418
-450,273,1421
-433,276,1398
-405,247,1393
-372,256,1381
-340,273,1383
-323,282,1367
-347,245,1367
-356,226,1360
-366,232,1342
-368,258,1350
-398,297,1362
-283,347,1357
-288,355,1362
-280,350,1345
-286,313,1350
-251,297,1335
-253,278,1332
-270,276,1311
-258,263,1311
-258,268,1301
-270,287,1301
-270,297,1316
-275,306,1325
-288,311,1327
-288,316,1337
-307,311,1337
-305,316,1317
-321,297,1327
-333,321,1347
-321,292,1330
-328,295,1335
-335,297,1332
-342,278,1327
-333,290,1325
-335,290,1322
-345,290,1322
-328,280,1313
-337,292,1330
-335,287,1330
-333,295,1322
-335,285,1327
-333,280,1332
-326,295,1325
-345,280,1322
-331,282,1320
-331,285,1332
-351,290,1322
-331,285,1322
-331,295,1337
-342,295,1327
-335,285,1325
-337,285,1330
-331,295,1337
-326,302,1330
-318,297,1330
-333,285,1311
-321,305,1330
-318,290,1316
-321,302,1317
-323,295,1320
-326,290,1330
-333,306,1322
-318,300,1327
-321,290,1320
-321,300,1317
-323,292,1327
-312,290,1317
-326,295,1317
-321,297,1313
-310,305,1317
-318,295,1320
-312,282,1308
-302,297,1322
-305,290,1317
-298,300,1335
-310,300,1308
-300,292,1298
-307,297,1308
-307,290,1303
-291,295,1293
-302,295,1301
-281,287,1281
-288,276,1276
-298,271,1283
-302,292,1276
-302,280,1281
-302,290,1281
-286,280,1291
-298,282,1306
-302,278,1286
-310,276,1286
-296,280,1288
-296,278,1293
-302,285,1298
-302,280,1281
-293,271,1278
-286,280,1268
-283,266,1266
-291,271,1283
-288,256,1271
-283,263,1266
-281,266,1261
